FK_Table,FK_Column,PK_Table,PK_Column
BillOfMaterials,ComponentID,Product,ProductID
BillOfMaterials,ProductAssemblyID,Product,ProductID
Customer,PersonID,Person,BusinessEntityID
Customer,StoreID,Store,BusinessEntityID
Customer,TerritoryID,SalesTerritory,TerritoryID
Product,ProductModelID,ProductModel,ProductModelID
Product,ProductSubcategoryID,ProductSubcategory,ProductSubcategoryID
Product,SizeUnitMeasureCode,UnitMeasure,UnitMeasureCode
Product,WeightUnitMeasureCode,UnitMeasure,UnitMeasureCode
ProductCostHistory,ProductID,Product,ProductID
ProductDocument,ProductID,Product,ProductID
ProductInventory,ProductID,Product,ProductID
ProductListPriceHistory,ProductID,Product,ProductID
ProductProductPhoto,ProductID,Product,ProductID
ProductReview,ProductID,Product,ProductID
ProductSubcategory,ProductCategoryID,ProductCategory,ProductCategoryID
ProductVendor,ProductID,Product,ProductID
PurchaseOrderDetail,ProductID,Product,ProductID
SalesOrderDetail,ProductID,SpecialOfferProduct,ProductID
SalesOrderDetail,ProductID,SpecialOfferProduct,SpecialOfferID
SalesOrderDetail,SalesOrderID,SalesOrderHeader,SalesOrderID
SalesOrderDetail,SpecialOfferID,SpecialOfferProduct,ProductID
SalesOrderDetail,SpecialOfferID,SpecialOfferProduct,SpecialOfferID
SalesOrderHeader,BillToAddressID,Address,AddressID
SalesOrderHeader,CreditCardID,CreditCard,CreditCardID
SalesOrderHeader,CurrencyRateID,CurrencyRate,CurrencyRateID
SalesOrderHeader,CustomerID,Customer,CustomerID
SalesOrderHeader,SalesPersonID,SalesPerson,BusinessEntityID
SalesOrderHeader,ShipMethodID,ShipMethod,ShipMethodID
SalesOrderHeader,ShipToAddressID,Address,AddressID
SalesOrderHeader,TerritoryID,SalesTerritory,TerritoryID
SalesOrderHeaderSalesReason,SalesOrderID,SalesOrderHeader,SalesOrderID
SalesPerson,TerritoryID,SalesTerritory,TerritoryID
SalesTerritory,CountryRegionCode,CountryRegion,CountryRegionCode
SalesTerritoryHistory,TerritoryID,SalesTerritory,TerritoryID
ShoppingCartItem,ProductID,Product,ProductID
SpecialOfferProduct,ProductID,Product,ProductID
StateProvince,TerritoryID,SalesTerritory,TerritoryID
TransactionHistory,ProductID,Product,ProductID
WorkOrder,ProductID,Product,ProductID
